CuisineType,RestaurantID,RestaurantName,Segment,Subregion,GrowthFactor,AOV,MonthlyOrders,InStoreOrders,InStoreRevenue,UberEatsOrders,DoorDashOrders,SelfDeliveryOrders,UberEatsRevenue,DoorDashRevenue,SelfDeliveryRevenue,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostPerOrder,SD_DeliveryTotalCost,InStoreNetProfit,UberEatsNetProfit,DoorDashNetProfit,SelfDeliveryNetProfit,InStoreShare,UE_share,DD_share,SD_share,Final_InStoreShare,Final_UE_share,Final_DD_share,Final_SD_share,TotalDeliveryOrders,TotalRevenue,TotalNetProfit,AggregatorOrders,AggregatorDependence,InStoreReliance,AggregatorRiskCategory
Burgers,25731,Urban Burgers House,Cafe,North Shore,1.03,43.97,668,197,8662.09,212,118,141,9321.64,5188.46,6199.77,0.2087414306961,0.366171811125241,0.28,11,3.25,458.25,3682.14,1352.45,752.78,2177.19,0.42,0.45,0.25,0.3,0.2949101796407186,0.31736526946107785,0.17664670658682635,0.21107784431137724,471,29371.96,7964.5599999999995,330,0.4940119760479042,0.2949101796407186,Low Risk
Burgers,25123,Urban Burgers Diner,QSR,South Auckland,1.05,40.45,1388,259,10476.55,508,282,339,20548.6,11406.9,13712.55,0.248216602616012,0.407612904394045,0.28,16,4.72,1600.08,3605.72,1318.61,731.99,3119.38,0.23,0.45,0.25,0.3,0.18659942363112392,0.3659942363112392,0.20317002881844382,0.2442363112391931,1129,56144.59999999999,8775.7,790,0.569164265129683,0.18659942363112392,Medium Risk
Burgers,25177,King Burgers Eatery,Cafe,West Auckland,1.04,40.03,1717,524,20975.72,537,298,358,21496.11,11928.94,14330.74,0.219687956366688,0.407931713876314,0.3,11,3.25,1163.5,7810.95,1555.9,863.42,4172.99,0.44,0.45,0.25,0.3,0.3051834595224228,0.31275480489225393,0.17355853232382062,0.20850320326150262,1193,68731.51000000001,14403.26,835,0.48631333721607456,0.3051834595224228,Low Risk
Burgers,25540,Classic Burgers Tavern,QSR,North Shore,1.03,36.28,1083,216,7836.48,390,217,260,14149.2,7872.76,9432.8,0.237290996648371,0.437815106310882,0.33,3,0.89,231.4,2546.02,-72.25,-40.2,2833.26,0.25,0.45,0.25,0.3,0.1994459833795014,0.3601108033240997,0.20036934441366575,0.24007386888273316,867,39291.240000000005,5266.83,607,0.5604801477377654,0.1994459833795014,Medium Risk
Burgers,25258,Lucky Burgers Bistro,Cafe,South Auckland,1.05,34.34,1230,261,8962.74,436,242,291,14972.24,8310.28,9992.94,0.221437567938119,0.433456663764082,0.33,9,2.66,774.06,3093.09,226.17,125.53,2674.56,0.27,0.45,0.25,0.3,0.2121951219512195,0.3544715447154472,0.1967479674796748,0.23658536585365852,969,42238.200000000004,6119.35,678,0.551219512195122,0.2121951219512195,Medium Risk
Burgers,26138,King Burgers Kitchen,QSR,North Shore,1.03,36.88,827,160,5900.8,300,167,200,11064.0,6158.96,7376.0,0.265131494924426,0.395680021704175,0.29,13,3.84,768.0,2001.48,544.22,302.95,1733.85,0.24,0.45,0.25,0.3,0.19347037484885127,0.36275695284159615,0.20193470374848851,0.2418379685610641,667,30499.76,4582.5,467,0.5646916565900847,0.19347037484885127,Medium Risk
Burgers,25396,Urban Burgers Eatery,QSR,South Auckland,1.05,46.32,881,176,8152.32,317,176,212,14683.44,8152.32,9819.84,0.224100138861686,0.372992298309691,0.28,7,2.07,438.84,3284.63,1804.71,1001.98,3517.65,0.25,0.45,0.25,0.3,0.19977298524404086,0.3598183881952327,0.19977298524404086,0.24063564131668558,705,40807.92,9608.97,493,0.5595913734392736,0.19977298524404086,Medium Risk
Burgers,25087,Urban Burgers Tavern,Ghost Kitchen,CBD,0.99,34.74,800,72,2501.28,328,182,218,11394.72,6322.68,7573.32,0.285647804650944,0.293128232413437,0.31,18,5.31,1157.58,1053.6,1267.37,703.23,2032.48,0.1,0.45,0.25,0.3,0.09,0.41,0.2275,0.2725,728,27792.0,5056.68,510,0.6375,0.09,Medium Risk
Burgers,25125,Classic Burgers Tavern,Cafe,CBD,0.99,32.79,612,152,4984.08,207,115,138,6787.53,3770.85,4525.02,0.279599561002105,0.3755833853269,0.3,8,2.36,325.68,1718.6,304.2,169.0,1234.62,0.33,0.45,0.25,0.3,0.24836601307189543,0.3382352941176471,0.18790849673202614,0.22549019607843138,460,20067.480000000003,3426.42,322,0.5261437908496732,0.24836601307189543,Medium Risk
Burgers,25762,Lucky Burgers Cafe,QSR,South Auckland,1.05,36.07,572,128,4616.96,200,111,133,7214.0,4003.77,4797.31,0.22032218426466,0.43025645299349,0.27,11,3.25,432.25,1613.26,572.95,317.98,1244.03,0.29,0.45,0.25,0.3,0.22377622377622378,0.34965034965034963,0.19405594405594406,0.23251748251748253,444,20632.04,3748.2200000000003,311,0.5437062937062938,0.22377622377622378,Medium Risk
